time,value,mets,level
00:23:35,70,,
00:23:50,70,,
02:33:05,70,,
02:33:20,70,,
03:51:55,70,,
03:52:05,74,,
03:52:20,78,,
03:52:25,82,,
03:52:30,91,,
03:52:35,96,,
03:52:40,92,,
03:52:50,91,,
03:52:55,88,,
03:53:00,87,,
03:53:10,84,,
03:53:20,79,,
03:53:30,78,,
03:53:40,78,,
03:53:50,79,,
03:54:00,80,,
03:54:10,83,,
03:54:20,84,,
03:54:25,83,,
03:54:30,87,,
03:54:40,85,,
03:54:50,80,,
03:55:00,84,,
03:55:10,83,,
03:55:20,82,,
03:55:35,82,,
03:55:40,79,,
03:55:50,78,,
03:56:00,80,,
03:56:15,79,,
03:56:30,78,,
03:56:40,81,,
03:56:50,82,,
03:57:00,84,,
03:57:15,84,,
03:57:30,84,,
03:57:45,84,,
03:57:50,76,,
03:58:00,78,,
03:58:05,78,,
03:58:20,79,,
03:58:30,79,,
03:58:35,80,,
03:58:50,81,,
03:59:05,81,,
03:59:10,81,,
03:59:20,81,,
03:59:30,79,,
03:59:40,80,,
03:59:55,80,,
04:00:00,81,,
04:00:10,82,,
04:00:20,81,,
04:00:30,80,,
04:00:40,81,,
04:00:55,81,,
04:01:10,81,,
04:01:25,81,,
04:01:40,81,,
04:01:50,82,,
04:02:05,82,,
04:02:10,83,,
04:02:20,82,,
04:02:30,82,,
04:02:40,81,,
04:02:50,82,,
04:03:00,83,,
04:03:10,84,,
04:03:25,83,,
04:03:40,83,,
04:03:55,83,,
04:04:10,82,,
04:04:25,82,,
04:04:40,82,,
04:04:50,83,,
04:05:00,84,,
04:05:15,84,,
04:05:20,82,,
04:05:30,80,,
04:05:40,80,,
04:05:50,82,,
04:06:00,81,,
04:06:10,82,,
04:06:20,83,,
04:06:30,82,,
04:06:45,82,,
04:06:50,83,,
04:07:00,82,,
04:07:10,80,,
04:07:20,78,,
04:07:30,79,,
04:07:40,80,,
04:07:50,82,,
04:08:00,83,,
04:08:10,81,,
04:08:20,80,,
04:08:35,80,,
04:08:40,79,,
04:08:50,79,,
04:09:00,81,,
04:09:15,81,,
04:09:20,82,,
04:09:30,83,,
04:09:40,82,,
04:09:50,81,,
04:10:00,80,,
04:10:10,81,,
04:10:20,81,,
04:10:30,79,,
04:10:40,81,,
04:10:55,81,,
04:11:00,80,,
04:11:10,82,,
04:11:20,81,,
04:11:35,79,,
04:11:50,80,,
04:12:00,84,,
04:12:15,84,,
04:12:20,80,,
04:12:30,76,,
04:12:45,76,,
04:12:50,79,,
04:13:00,80,,
04:13:10,79,,
04:13:20,81,,
04:13:30,84,,
04:13:40,86,,
04:13:50,83,,
04:14:00,82,,
04:14:05,83,,
04:14:20,85,,
04:14:30,83,,
04:14:40,82,,
04:14:50,84,,
04:15:00,81,,
04:15:10,80,,
04:15:20,81,,
04:15:30,83,,
04:15:40,82,,
04:15:50,83,,
04:16:00,85,,
04:16:10,85,,
04:16:20,83,,
04:16:30,82,,
04:16:40,84,,
04:16:50,85,,
04:17:05,85,,
04:17:10,86,,
04:17:20,85,,
04:17:30,90,,
04:17:45,90,,
04:17:50,88,,
04:18:00,86,,
04:18:10,81,,
04:18:20,80,,
04:18:30,85,,
04:18:40,84,,
04:18:50,83,,
04:19:05,84,,
04:19:20,84,,
04:19:25,83,,
04:19:30,82,,
04:19:45,82,,
04:19:50,83,,
04:20:00,81,,
04:20:15,81,,
04:20:30,80,,
04:20:45,81,,
04:21:00,81,,
04:21:15,77,,
04:21:20,77,,
04:21:30,73,,
04:21:35,74,,
04:21:50,74,,
04:21:55,73,,
04:22:05,74,,
04:22:10,73,,
04:22:20,74,,
04:22:25,75,,
04:22:40,75,,
04:22:50,74,,
04:23:00,76,,
04:23:05,78,,
04:23:10,79,,
04:23:20,77,,
04:23:25,75,,
04:23:40,81,,
04:23:55,81,,
04:24:00,80,,
04:24:05,82,,
04:24:20,82,,
04:24:30,83,,
04:24:40,82,,
04:24:50,81,,
04:24:55,80,,
04:25:10,78,,
04:25:20,76,,
04:25:35,76,,
04:25:40,77,,
04:25:55,77,,
04:26:10,77,,
04:26:20,75,,
04:26:30,77,,
04:26:40,78,,
04:26:45,79,,
04:26:55,80,,
04:27:00,81,,
04:27:15,82,,
04:27:25,81,,
04:27:30,80,,
04:27:35,79,,
04:27:50,80,,
04:28:00,79,,
04:28:15,79,,
04:28:20,78,,
04:28:30,77,,
04:28:40,77,,
04:28:50,75,,
04:29:00,76,,
04:29:15,76,,
04:29:20,78,,
04:29:25,78,,
04:29:40,78,,
04:29:50,79,,
04:29:55,76,,
04:30:00,78,,
04:30:10,76,,
04:30:15,77,,
04:30:30,82,,
04:30:40,77,,
04:30:50,74,,
04:31:05,74,,
04:31:10,75,,
04:31:20,77,,
04:31:30,78,,
04:31:45,78,,
04:31:50,80,,
04:32:00,79,,
04:32:10,75,,
04:32:20,76,,
04:32:30,79,,
04:32:40,78,,
04:32:45,78,,
04:32:50,77,,
04:33:05,77,,
04:33:10,76,,
04:33:20,73,,
04:33:30,73,,
04:33:45,73,,
04:33:50,76,,
04:34:00,77,,
04:34:10,75,,
04:34:20,77,,
04:34:30,76,,
04:34:45,76,,
04:34:50,75,,
04:35:00,77,,
04:35:10,75,,
04:35:20,74,,
04:35:25,74,,
04:35:40,75,,
04:35:50,74,,
04:36:00,75,,
04:36:10,74,,
04:36:25,74,,
04:36:30,74,,
04:36:35,75,,
04:36:40,77,,
04:36:50,77,,
04:37:00,75,,
04:37:05,75,,
04:37:20,72,,
04:37:30,71,,
04:37:40,74,,
04:37:45,77,,
04:38:00,73,,
04:38:15,73,,
04:38:20,74,,
04:38:25,75,,
04:38:40,75,,
04:38:55,75,,
04:39:00,81,,
04:39:10,76,,
04:39:20,78,,
04:39:25,77,,
04:39:40,76,,
04:39:50,73,,
04:40:05,73,,
04:40:10,74,,
04:40:15,75,,
04:40:20,76,,
04:40:25,77,,
04:40:30,76,,
04:40:35,77,,
04:40:50,79,,
04:40:55,79,,
04:41:00,79,,
04:41:10,80,,
04:41:20,78,,
04:41:30,76,,
04:41:45,76,,
04:41:50,77,,
04:42:00,84,,
04:42:15,84,,
04:42:20,76,,
04:42:25,73,,
04:42:40,74,,
04:42:50,73,,
04:43:05,73,,
04:43:10,74,,
04:43:20,72,,
04:43:30,74,,
04:43:45,74,,
04:44:00,75,,
04:44:10,76,,
04:44:15,76,,
04:44:30,76,,
04:44:45,76,,
